Movie Title,Genre(s),Year of Release,Letterboxd Rating,IMDb Rating,Runtime (mins),Synopsis,Country,Original Language,Production Studio,Budget,Box Office Gross,Awards
Barbie,"Adventure, Comedy, Fantasy",2023,3.8,6.8,114,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","United States, United Kingdom","English, Spanish",N/A,"$636,238,421","$636,238,421",Won 1 Oscar. 208 wins & 437 nominations total
Parasite,"Drama, Thriller",2019,4.5,8.5,133,"All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",South Korea,"Korean, English",N/A,"$53,369,749","$53,369,749",Won 4 Oscars. 316 wins & 266 nominations total
Interstellar,"Adventure, Drama, Sci-Fi",2014,4.4,8.7,169,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"United States, United Kingdom, Canada",English,N/A,"$203,227,580","$203,227,580",Won 1 Oscar. 44 wins & 148 nominations total
Fight Club,Drama,1999,4.3,8.8,139,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground “fight clubs” forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","Germany, United States",English,N/A,"$37,030,102","$37,030,102",Nominated for 1 Oscar. 12 wins & 38 nominations total
La La Land,"Comedy, Drama, Music",2016,4.1,8.0,129,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.","United States, Hong Kong","English, Cantonese",N/A,"$151,101,803","$151,101,803",Won 6 Oscars. 242 wins & 307 nominations total
Everything Everywhere All at Once,"Action, Adventure, Comedy",2022,,7.8,,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what’s important to her by connecting with the lives she could have led in other universes.",United States,"English, Mandarin, Cantonese",N/A,"$77,191,785","$77,191,785",Won 7 Oscars. 411 wins & 398 nominations total
Oppenheimer,"Biography, Drama, History",2023,4.2,8.3,181,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,"United States, United Kingdom","English, German, Italian, Dutch",N/A,"$330,050,270","$330,050,270",Won 7 Oscars. 361 wins & 371 nominations total
Whiplash,"Drama, Music",2014,4.4,8.5,107,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",United States,English,N/A,"$14,003,391","$14,003,391",Won 3 Oscars. 99 wins & 144 nominations total
Pulp Fiction,"Crime, Drama",1994,4.3,8.9,154,"A burger-loving hit man, his philosophical partner, a drug-addled gangster’s moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",United States,"English, Spanish, French",N/A,"$107,928,762","$107,928,762",Won 1 Oscar. 69 wins & 72 nominations total
Joker,"Crime, Drama, Thriller",2019,3.8,8.3,122,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","United States, Canada, Australia","English, German",N/A,"$335,477,657","$335,477,657",Won 2 Oscars. 121 wins & 247 nominations total
